"LOCATION","Country","VAR","Variable ","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","BB-P100-TOT","Fixed broadband - All subscriptions per 100 inhabitants","2009","2009","100HAB","Per 100 inhabitants","0","Units",,,24.055,,
"AUS","Australia","BB-P100-TOT","Fixed broadband - All subscriptions per 100 inhabitants","2009-Q4","Q4-2009","100HAB","Per 100 inhabitants","0","Units",,,24.055,,
"AUS","Australia","BB-P100-TOT","Fixed broadband - All subscriptions per 100 inhabitants","2010","2010","100HAB","Per 100 inhabitants","0","Units",,,25.041,,
"AUS","Australia","BB-P100-TOT","Fixed broadband - All subscriptions per 100 inhabitants","2010-Q2","Q2-2010","100HAB","Per 100 inhabitants","0","Units",,,24.254,,
"AUS","Australia","BB-P100-TOT","Fixed broadband - All subscriptions per 100 inhabitants","2010-Q4","Q4-2010","100HAB","Per 100 inhabitants","0","Units",,,25.041,,
"AUS","Australia","BB-P100-TOT","Fixed broadband - All subscriptions per 100 inhabitants","2011","2011","100HAB","Per 100 inhabitants","0","Units",,,25.215,,
"AUS","Australia","BB-P100-TOT","Fixed broadband - All subscriptions per 100 inhabitants","2011-Q2","Q2-2011","100HAB","Per 100 inhabitants","0","Units",,,25.2,,
"AUS","Australia","BB-P100-TOT","Fixed broadband - All subscriptions per 100 inhabitants","2011-Q4","Q4-2011","100HAB","Per 100 inhabitants","0","Units",,,25.215,,
"AUS","Australia","BB-P100-TOT","Fixed broadband - All subscriptions per 100 inhabitants","2012","2012","100HAB","Per 100 inhabitants","0","Units",,,25.883,,
"AUS","Australia","BB-P100-TOT","Fixed broadband - All subscriptions per 100 inhabitants","2012-Q2","Q2-2012","100HAB","Per 100 inhabitants","0","Units",,,25.671,,
"AUS","Australia","BB-P100-TOT","Fixed broadband - All subscriptions per 100 inhabitants","2012-Q4","Q4-2012","100HAB","Per 100 inhabitants","0","Units",,,25.883,,
"AUS","Australia","BB-P100-TOT","Fixed broadband - All subscriptions per 100 inhabitants","2013","2013","100HAB","Per 100 inhabitants","0","Units",,,26.595,,
