"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","Q","Quarterly","2010-Q1","Q1-2010","PC","Percentage","0","Units",,,10.1605944541363,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","Q","Quarterly","2010-Q2","Q2-2010","PC","Percentage","0","Units",,,13.8437310369983,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","Q","Quarterly","2010-Q3","Q3-2010","PC","Percentage","0","Units",,,4.63168225301168,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","Q","Quarterly","2010-Q4","Q4-2010","PC","Percentage","0","Units",,,8.90508991936848,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","Q","Quarterly","2011-Q1","Q1-2011","PC","Percentage","0","Units",,,3.91305818293935,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","Q","Quarterly","2011-Q2","Q2-2011","PC","Percentage","0","Units",,,9.2025335651694,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","Q","Quarterly","2011-Q3","Q3-2011","PC","Percentage","0","Units",,,6.6153828231294,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","Q","Quarterly","2011-Q4","Q4-2011","PC","Percentage","0","Units",,,-4.22701883857194,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","Q","Quarterly","2012-Q1","Q1-2012","PC","Percentage","0","Units",,,-3.99665821010671,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","Q","Quarterly","2012-Q2","Q2-2012","PC","Percentage","0","Units",,,-1.50528354682908,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","Q","Quarterly","2012-Q3","Q3-2012","PC","Percentage","0","Units",,,-3.49504537367053,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","Q","Quarterly","2012-Q4","Q4-2012","PC","Percentage","0","Units",,,-0.0024649269539937,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","Q","Quarterly","2013-Q1","Q1-2013","PC","Percentage","0","Units",,,2.06327299172805,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","Q","Quarterly","2013-Q2","Q2-2013","PC","Percentage","0","Units",,,-1.06675413034041,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","Q","Quarterly","2013-Q3","Q3-2013","PC","Percentage","0","Units",,,-2.76345776722879,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","Q","Quarterly","2013-Q4","Q4-2013","PC","Percentage","0","Units",,,3.08265602611896,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","Q","Quarterly","2014-Q1","Q1-2014","PC","Percentage","0","Units",,,1.09102978043815,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","Q","Quarterly","2014-Q2","Q2-2014","PC","Percentage","0","Units",,,-4.92338714940799,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","Q","Quarterly","2014-Q3","Q3-2014","PC","Percentage","0","Units",,,-2.5472913500559,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","Q","Quarterly","2014-Q4","Q4-2014","PC","Percentage","0","Units",,,-6.57444014100453,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","Q","Quarterly","2015-Q1","Q1-2015","PC","Percentage","0","Units",,,-8.52800882376506,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","Q","Quarterly","2015-Q2","Q2-2015","PC","Percentage","0","Units",,,-7.55711731089615,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","Q","Quarterly","2015-Q3","Q3-2015","PC","Percentage","0","Units",,,-0.847792797717214,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","Q","Quarterly","2015-Q4","Q4-2015","PC","Percentage","0","Units",,,-6.4637875872622,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","Q","Quarterly","2016-Q1","Q1-2016","PC","Percentage","0","Units",,,-4.65665683676198,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","Q","Quarterly","2016-Q2","Q2-2016","PC","Percentage","0","Units",,,8.8820178808273,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","Q","Quarterly","2016-Q3","Q3-2016","PC","Percentage","0","Units",,,6.86034620580644,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","Q","Quarterly","2016-Q4","Q4-2016","PC","Percentage","0","Units",,,17.3102147613478,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","Q","Quarterly","2017-Q1","Q1-2017","PC","Percentage","0","Units",,,2.01366336697531,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","Q","Quarterly","2017-Q2","Q2-2017","PC","Percentage","0","Units",,,-3.5388847738484,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","Q","Quarterly","2017-Q3","Q3-2017","PC","Percentage","0","Units",,,6.25188535715633,,
