"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","EEMNC","Employees","PER","Persons","Q","Quarterly","2010-Q1","Q1-2010","PER","Persons","3","Thousands",,,3425.9,,
"AUT","Austria","EEMNC","Employees","PER","Persons","Q","Quarterly","2010-Q2","Q2-2010","PER","Persons","3","Thousands",,,3492.9,,
"AUT","Austria","EEMNC","Employees","PER","Persons","Q","Quarterly","2010-Q3","Q3-2010","PER","Persons","3","Thousands",,,3560,,
"AUT","Austria","EEMNC","Employees","PER","Persons","Q","Quarterly","2010-Q4","Q4-2010","PER","Persons","3","Thousands",,,3529.1,,
"AUT","Austria","EEMNC","Employees","PER","Persons","Q","Quarterly","2011-Q1","Q1-2011","PER","Persons","3","Thousands",,,3476.6,,
"AUT","Austria","EEMNC","Employees","PER","Persons","Q","Quarterly","2011-Q2","Q2-2011","PER","Persons","3","Thousands",,,3547.1,,
"AUT","Austria","EEMNC","Employees","PER","Persons","Q","Quarterly","2011-Q3","Q3-2011","PER","Persons","3","Thousands",,,3615.2,,
"AUT","Austria","EEMNC","Employees","PER","Persons","Q","Quarterly","2011-Q4","Q4-2011","PER","Persons","3","Thousands",,,3581.3,,
"AUT","Austria","EEMNC","Employees","PER","Persons","Q","Quarterly","2012-Q1","Q1-2012","PER","Persons","3","Thousands",,,3529.1,,
"AUT","Austria","EEMNC","Employees","PER","Persons","Q","Quarterly","2012-Q2","Q2-2012","PER","Persons","3","Thousands",,,3596.1,,
"AUT","Austria","EEMNC","Employees","PER","Persons","Q","Quarterly","2012-Q3","Q3-2012","PER","Persons","3","Thousands",,,3648.4,,
"AUT","Austria","EEMNC","Employees","PER","Persons","Q","Quarterly","2012-Q4","Q4-2012","PER","Persons","3","Thousands",,,3603.3,,
